文章出处  文章内容  文章链接
动漫  《美少女战士》最新剧场版将于2021年1月8日上映前篇，2月11日上映后篇，11月30日今天官方公开了最新海报，月野兔以及镜中被封印的新月暗之女王同框，一起欣赏下。  //hot.cnbeta.com/articles/comic/1060005.htm
动漫  近日一则趣闻引发日本网友热议，为了给知名动漫《海贼王》的乌索普雕像让地方，原本当地有名的盘踞数十年的原有老牛雕像惨被移走。·网友表示这只老牛雕像已经趴在这里数十年之久，早已经成为当地居民的日常念想，然而近日忽然立了个了牌子，显示预定安装“乌索普”雕像引发网友注意，果然，没几天这头牛就被移走了，换上了活灵活现精力十足的乌索普雕像了。  //hot.cnbeta.com/articles/comic/1059533.htm
动漫  倍受期待的系列新章《名侦探柯南 警察学校篇》的各个篇章已经陆续连载，而据官方公开的最新消息，《警察学校篇》的漫画单行本下册将于12月18日上市发售，单行本的封面也正式公开（单行本上册于11月18日上市发售）。  //hot.cnbeta.com/articles/comic/1059355.htm
动漫  11月26日今天据日媒报道，一位高价拍卖Weiß Schwarz黑白双翼动漫卡的玩家因为收到85万日元拍卖款却没有发货而被捕，罪名涉嫌诈骗。  //hot.cnbeta.com/articles/comic/1058541.htm
动漫  还记得去年上映的全3DCG动画电影《勇者斗恶龙：你的故事》么？11月26日今天据日媒报道，小说家久美沙织近日起诉东宝·史艾，称DQ电影主角名字抄袭自己的小说，要求公开道歉并赔偿200万日元。  //hot.cnbeta.com/articles/comic/1058481.htm
动漫  继2018年的《龙猫》，2019年的《千与千寻》之后，又一部宫崎骏导演的动作电影确认引进内地上映。这一次将与观众们见面的是《崖上的波妞》（此前大家都将其称之为《悬崖上的金鱼姬》，此次院线上映版的译名略有差异）。  //hot.cnbeta.com/articles/comic/1058449.htm
动漫  11月25日今天，《名侦探柯南》剧场版官方SNS包括推特、官方站等突然出现神秘数字“18”引发网友热议，鉴于之前的同等类型解谜典故，网友推测这代表着“R”的意思？  //hot.cnbeta.com/articles/comic/1058075.htm
动漫  11月25日今天，有网友晒出了日本公信榜（oricon）的2020年漫画销量排行榜，年度超火《鬼灭之刃》排在第一毫不奇怪，不过老牌经典《海贼王》只排第三位。  //hot.cnbeta.com/articles/comic/1058065.htm
动漫  《新世纪福音战士剧场版：│▌》最终部将于2021年1月23日上映，日前最新周边联动T恤再次公开，预定12月8日正式发售，官方同时公开了T恤宣传片，一起来期待下。《新世纪福音战士新剧场版：终》由庵野秀明执导、khara工作室制作，是以《新世纪福音战士》再构筑为福音战士新剧场版四部曲的第四部。  //hot.cnbeta.com/articles/comic/1056981.htm
动漫  近日据日本据网友爆料，有极其眼尖网友发现尾田海贼王画面中居然暗藏螺帽怪神秘宝可梦“美录坦”引发网友热议，纷纷猜测尾田老师近期迷恋宝可梦GO游戏过火？  //hot.cnbeta.com/articles/comic/1056901.htm
动漫  人气漫画《排球少年》已经步入最终章的冒险，TV动画第4季《排球少年！！TO THE TOP》第二阶段已经于10月2日开播，近日官方公开了最新2段宣传片，回顾了过去的战斗以及展望了迈向终盘的新冒险，一起欣赏下。  //hot.cnbeta.com/articles/comic/1056527.htm
动漫  11月21日，B站举办了2020-2021 国创动画作品发布会，宣布推出33部动画作品新内容。 《元龙》第二季、《百妖谱》第二季、《天官赐福》特别篇、《时光代理人》、《银河之心》等多部新作品在列。  //hot.cnbeta.com/articles/comic/1056453.htm
动漫  索尼已经与Adult Swim的疯狂科学家瑞克和他的外孙莫蒂合作，发布了一个古怪的30秒PlayStation 5广告。这两个家伙出现在莫蒂父母的客厅里，瑞克看上去是在数钱，他让莫蒂介绍手旁的PS5。  //hot.cnbeta.com/articles/comic/1056367.htm
动漫  今日（11月18日），华纳兄弟电影公开了《猫和老鼠大电影》官方中文预告，该影片将于2021年上映，一起来欣赏一下此次公开的中文预告片吧。据悉，真人+CG版《猫和老鼠》电影改编自同名经典动画，科洛·莫瑞兹、迈克尔·佩纳、肯·郑、Colin Jost等出演，蒂姆·斯托瑞(《佐州自救兄弟》《神奇四侠2》)执导。  //hot.cnbeta.com/articles/comic/1054843.htm
动漫  据外媒报道，真人版《猫和老鼠》（Tom and Jerry）官方Twitter账号刚刚发布了这部新电影的首支预告，通过汤姆和杰瑞的各种滑稽动作继续展现熟悉的“猫鼠大战”。预告片还表明，这部电影将于2021年上映，但并未公布具体日期。  //hot.cnbeta.com/articles/comic/1054807.htm
动漫  知名漫画家蔡志忠今天在少林寺落发，法名“延一”。嵩山少林寺方丈释永信在微博发文确认了这一消息。“蔡志忠缘归少林，心归禅宗，法名‘延一’，随喜赞叹”。释永信在微博中写道。  //hot.cnbeta.com/articles/comic/1054765.htm
动漫  知名漫画家蔡志忠今天在少林寺落发，法名“延一”。嵩山少林寺方丈释永信在微博发文确认了这一消息。“蔡志忠缘归少林，心归禅宗，法名‘延一’，随喜赞叹”。释永信在微博中写道。  //hot.cnbeta.com/articles/comic/1054535.htm
动漫  近日日本玩家社区有网友晒出了尾田荣一郎的某个时期工作台的样子，凌乱之极引发网友热议。随后陆续有多位漫画大师工作台被晒出，其中最不务正业也是最凌乱到境界级的秘传照片被发掘出来，难怪天天腰疼老是停载是由原因的。  //hot.cnbeta.com/articles/comic/1054363.htm
动漫  平常我们也能见到一些豪车发生的交通事故，但是法拉利撞上飞机的事故，想必没几人有机会见到吧。11月15日，浙江金华，义乌机场附近一辆法拉利撞上了一架飞机，导致飞机机翼受损，并且法拉利的机舱盖向上翻起，车头部分受到损毁。（视频点此观看）  //hot.cnbeta.com/articles/comic/1054011.htm
动漫  今日（11月16日），据@华纳兄弟电影官方微博公布的消息，汤姆和杰瑞来中国了！新版《猫和老鼠》首支预告将于11月18日公布，同时官网还配上了一张汤姆和杰瑞与长城合影的图片。  //hot.cnbeta.com/articles/comic/1053977.htm
动漫  每年的例行作品、藤子・F・不二雄原作全新作动画电影《哆啦A梦 大雄的宇宙小战争2021》官方日前宣布将于2021年3月5日上映，同时最新预告公开，一起来了解下。  //hot.cnbeta.com/articles/comic/1053819.htm
动漫  昨天深夜，宝可梦官方Youtube频道发布了2020年大电影《宝可梦：COCO》的最新预告片，该电影将于下个月上映，一起来看看预告片吧。《宝可梦：COCO》的故事内核与大家熟悉的《人猿泰山》很相似，只不过森林中的动物都被各种宝可梦所替代。  //hot.cnbeta.com/articles/comic/1053761.htm
动漫  今日（11月12日）香港著名模型厂商Hottoys推出新品《漫威蜘蛛侠：迈尔斯·莫拉莱斯》1/6人偶，与游戏同步，全高29.5cm，一共30多个活动关节，售价1680元，现已上架Hottoys天猫旗舰店，预计于2022年第1-2季度出货。  //hot.cnbeta.com/articles/comic/1052653.htm
动漫  日本漫画家谏山创原作著名漫画《进击的巨人》不知不觉已经连载10年多了，目前已经进入收尾阶段，11月8日今天，今年2月启动的作者谏山创的故乡大分县日田市原作主角铜像正式竣工揭幕，原作者谏山创亲自出席仪式，一起来感受下。  //hot.cnbeta.com/articles/comic/1051605.htm
动漫  著名奇幻漫画《进击的巨人》之前岑多次曝出已经接近完结，究竟有多接近了呢？近日谏山创在故乡《进击的巨人》主角铜像揭幕式亲自证实，《进击的巨人》距离完结仅剩1%～2%的内容，目前正在为大结局努力。  //hot.cnbeta.com/articles/comic/1051597.htm
动漫  近日超火的《鬼灭之刃》动画电影票房短短不到一个月已经达到204亿日元，超越了多部已经霸帮多年的吉卜力动画作品，近日日媒采访了动画大师宫崎骏，宫崎骏只是简短的回答，“与我无关，我现在只是个捡垃圾的退休老头而已”，引发网友热议。  //hot.cnbeta.com/articles/comic/1051509.htm
动漫  环球影业旗下梦工厂动画工作室宣布，《疯狂原始人2》在中国内地正式定档，将于11月27日在内地院线上映（该片的北美档期为11月25日）。该片的中文版配音卡司也正式公开，声线多变的演技派演员郭京飞，自带笑点、完美适配角色人设的林更新将对原作角色瓜哥和盖进行全新富有个人特色的演绎；而配音技巧早已被观众认可、幽默感十足的郑恺也将为“文明人”菲尔配音，献上好莱坞动画电影配音首秀。  //hot.cnbeta.com/articles/comic/1050081.htm
动漫  《漫威蜘蛛侠：迈尔斯·莫拉莱斯》即将于11月12日正式发售，登陆PS4和PS5，官方也发布了一则全新的电视广告：拯救面临威胁的漫威纽约市麦尔斯·摩拉斯将扛下重任，成为独当一面的蜘蛛侠。  //hot.cnbeta.com/articles/comic/1049819.htm
动漫  3DCG版动画电影《哆啦A梦：伴我同行2》公开两则全新的电视广告片（奶奶篇和结婚篇），该片作为50周年纪念作，将于11月20日在日本上映。《哆啦A梦：伴我同行2》为2014年电影《哆啦A梦：伴我同行》的续集，哆啦A梦50周年纪念作品。本片由八木龙一和山崎贵共同执导，故事改编自藤子·F·不二雄的漫画《哆啦A梦》。  //hot.cnbeta.com/articles/comic/1049651.htm
动漫  来自万达电影官方微博发布的最新消息，系列第40部剧场版《哆啦A梦：大雄的新恐龙》官宣定档，将于12月11日在中国内地上映，定档海报同步发布。《哆啦A梦：大雄的新恐龙》已于今年8月7日在日本上映，除御用声优班底水田山葵、大原惠美、嘉数由美、关智一、木村昴之外，木村拓哉与渡边直美也参与该片配音，Mr.Children献唱影片主题曲《Birthday》。  //hot.cnbeta.com/articles/comic/1048541.htm
动漫  人气动漫《进击的巨人》剧情已经接近尾声，该来的终归要来，《进击的巨人》TV动画最终季即将于12月6日开播，官方日前公开了多名新追加角色及声优，一起来了解下。  //hot.cnbeta.com/articles/comic/1048257.htm
