文章出处  文章内容  文章链接
科学  嫦娥五号返回地球时，进入大气层后高速摩擦将使探测器表面温度高达3000℃以上，而这样的温度下几乎连金刚石都会熔化，那么——嫦娥五号任务是我国探月工程“绕、落、回”三步走的收官之战，如果把整个任务比作一场接力跑，那么嫦娥五号返回地球就是最后的一棒。  http://www.cnbeta.com/articles/science/1067303.htm
科学  美国康奈尔大学领导的一个国际科学家团队通过射电望远镜阵列监测宇宙，探测到了来自牧夫座的射电脉冲串。该信号可能是第一次从太阳系以外的行星上收集到的射电脉冲。研究成果16日发表在《天文学与天体物理学》杂志上。  http://www.cnbeta.com/articles/science/1067299.htm
科学  随着深潜器技术不断发展，人们逐渐发现，茫茫深海之中并非一片死寂，无数生物在这一片漆黑之处繁衍生息。其中，生活在海面下大约8000米处的马里亚纳狮子鱼，是目前人们发现的“最深的深海鱼”。  http://www.cnbeta.com/articles/science/1067295.htm
科学  目前广泛使用的人造板，多由含甲醛的树脂粘合剂粘结木屑而成，有的可能会带来污染。近期，中国科学技术大学俞书宏院士团队深入解析生物质微观结构，利用天然结构的全新生物质表面纳米化策略，构筑出一种无需粘合剂的新型全生物质仿生木材。  http://www.cnbeta.com/articles/science/1067291.htm
科学  据外媒BGR报道，两名在阿拉斯加接种辉瑞/BioNTech新冠疫苗的医护人员出现过敏反应，其中一人出现过敏性休克。两名患者都立即接受了肾上腺素和其他药物的治疗，因为有一套监测系统来处理这种罕见的潜在疫苗副作用。  http://www.cnbeta.com/articles/science/1067247.htm
科学  据外媒CNET报道，欧空局（ESA）近日查看了其火星快车号（Mars Express）探测卫星拍摄到的红色星球景象，在地表形态中发现了一个缥缈的形状。欧空局周四在一份声明中说：“在这张图片中，可以看到一个天使人物的清晰翅膀，完整的光环，从画面的顶部掠过。”  http://www.cnbeta.com/articles/science/1067223.htm
科学  德雷克塞尔大学的工程师们开发出了一种叫做MXene的涂层和相关新型织物。新的MXene涂层是一种二维材料，具有导电性，已被证明在阻挡电磁波方面非常有效，并可能阻挡有害辐射，并且可以编织到服装和其他配件中。随着制造商将传感和通信技术融入智能织物中，对能够阻挡电磁波的织物需求正在增加。研究人员认为，署涂有MXene的织物，以屏蔽设备追踪和黑客攻击，同时保护人们免受强烈的微波辐射。  http://www.cnbeta.com/articles/science/1067169.htm
科学  SpaceX已经更新了原定于今日的猎鹰9号发射计划，推迟了本应是该公司2020年最后一次发射的NROL-108任务。今天上午，位于佛罗里达州的美国宇航局肯尼迪航天中心开启了三个小时的发射窗口，直到美国东部时间中午。  http://www.cnbeta.com/articles/science/1067157.htm
科学  今天凌晨，嫦娥五号顺利返回地球，最大的成果就是从月球上挖了2公斤土壤，这是国内首次、也是人类44年来再一次从月球采样带回珍贵的土壤。说到土地这事，不少网友就关心起另外一个重大问题了——月球土壤能不能种菜？这个问题不仅是网友所说的中国人民的种族天赋，实际上也很有科研价值，未来人类一旦在月球上生活，种菜这个就是大事了。  http://www.cnbeta.com/articles/science/1067133.htm
科学  当地时间17日，据法国总统府爱丽舍宫发布的公告，法国总统马克龙新冠病毒检测结果呈阳性。多名近期与他有密切接触的法国和外国政界人士随后开始实行自我隔离。当天早上，法国总理府确认总理卡斯泰已经开始隔离并进行了新冠病毒检测。稍晚时候的检测结果显示，卡斯泰当天的检测结果呈阴性。他将在7天后再次进行检测。  http://www.cnbeta.com/articles/science/1067127.htm
科学  今天凌晨，嫦娥五号正在着陆在内蒙古，今天晚上它已经回到了自己的出生地——中国航天科技集团五院。据新华视点报道，17日晚间，在完成必要的地面处理工作后，嫦娥五号返回器被空运至北京并正式回到“出生地”——中国航天科技集团五院。  http://www.cnbeta.com/articles/science/1067121.htm
科学  在介绍中国航天未来还将实施哪些重大工程任务时，中国国家航天局副局长、探月工程副总指挥吴艳华17日在北京表示，首次火星探测任务“天问一号”目前状态非常好，明年5月中旬计划着陆火星巡视探测。  http://www.cnbeta.com/articles/science/1067113.htm
科学  答应我，从今天开始，好好睡觉，好吗？美国历史学家A.Roger Ekirch曾在《白昼将尽：旧时代的夜晚》写道“自从进入工业时代，人们日出而作入而息的生物钟发生了变化，电灯的出现延长了白昼，也改写了人的时间观。在被延长的时间里，劳动被赋予了更多意义和价值。”  http://www.cnbeta.com/articles/science/1067065.htm
科学  12月17日1时59分，嫦娥五号返回器在内蒙古四子王旗预定区域着陆。记者从中国航天科工集团获悉，该公司二院206所研制的搬运外骨骼助力搜索回收分队成功完成返回器搜索回收任务。任务中，两名搜索回收队员身穿外骨骼、携带多套搜索设备从直升机降落点快速机动至返回器着陆点。穿上搬运外骨骼后，原本需要两人共同搬运的设备，只需一人即可单独完成，大大提升了单人负载机动能力，降低搜索回收作业人员体能消耗。  http://www.cnbeta.com/articles/science/1067051.htm
科学  为期3天的2020文昌国际航空航天论坛25日正在海口进行。中国国家航天局秘书长许洪亮在论坛上表示，后续中国将陆续实施嫦娥六号、七号、八号等任务，同时还规划建设国际月球科研站。中国探月工程于2004年立项实施，确定了“绕、落、回”三步走战略规划。嫦娥一号到嫦娥四号任务的成功实施，已圆满完成三步走战略的前两步。  http://www.cnbeta.com/articles/science/1067041.htm
科学  原子钟是我们今天所拥有的最准确的计时工具，最精准的原子钟150亿年的误差不超过一秒。但总是有改进的空间，麻省理工学院（MIT）的研究人员现在已经用一种新的量子纠缠原子钟证明了这一点。  http://www.cnbeta.com/articles/science/1067037.htm
科学  12月17日，嫦娥五号探测器在完成月球自动采样后返回地球，成功着陆于内蒙古四子王旗着陆场。中国国家航天局探月与航天工程中心副主任、嫦娥五号任务新闻发言人裴照宇在接受中新社“中国焦点面对面”专访时表示，嫦娥五号探测器带回的“太空快递”首先要在地球环境下解封，国内外科学家均可在符合样品管理办法规定的前提下开展研究；这份月球样品将以稳妥方式保存在两个地方，以确保样品安全。  http://www.cnbeta.com/articles/science/1066999.htm
科学  北京时间12月17日消息，马斯克在推特上表示关于SpaceX估值的报道失实。此前有外媒报道称，SpaceX正在与投资者讨论新一轮融资，并寻求将其估值提高一倍至高达920亿美元。  http://www.cnbeta.com/articles/science/1066997.htm
